,Unnamed: 0,call,put,strike,Share,symbol,trade date,exercise date,LIBOR Rate,Implied Volatility
0,0,12.05,21.23,160,148.35000610351562,JNJ,2020-09-14,2023-01-20,3.2972,21.28
1,1,12.7,21.421,160,148.35000610351562,JNJ,2020-09-15,2023-01-20,3.2972,21.389
2,2,12.55,21.06,160,148.88999938964844,JNJ,2020-09-16,2023-01-20,3.2972,21.214
3,3,11.34,20.973,160,148.39999389648438,JNJ,2020-09-17,2023-01-20,3.2972,20.254
4,4,,20.675,160,147.1699981689453,JNJ,2020-09-18,2023-01-20,3.2972,20.206
5,5,10.9,21.156,160,145.10000610351562,JNJ,2020-09-21,2023-01-20,3.2972,20.645
6,6,,21.09,160,145.10000610351562,JNJ,2020-09-22,2023-01-20,3.2972,21.564
7,7,,21.68,160,144.2100067138672,JNJ,2020-09-23,2023-01-20,3.2972,21.023
8,8,11.75,22.198,160,144.44000244140625,JNJ,2020-09-24,2023-01-20,3.2972,21.315
9,9,12.25,22.608,160,144.6699981689453,JNJ,2020-09-25,2023-01-20,3.2972,21.706
10,10,13.05,22.365,160,147.11000061035156,JNJ,2020-09-28,2023-01-20,3.2972,22.053
11,11,13.45,22.943,160,147.11000061035156,JNJ,2020-09-29,2023-01-20,3.2972,22.774
12,12,12.55,22.321,160,147.05999755859375,JNJ,2020-09-30,2023-01-20,3.2972,21.773
13,13,,22.644,160,148.8800048828125,JNJ,2020-10-01,2023-01-20,3.2972,21.802
14,14,12.8,22.25,160,147.32000732421875,JNJ,2020-10-02,2023-01-20,3.2972,23.217
15,15,,22.721,160,148.22999572753906,JNJ,2020-10-05,2023-01-20,3.2972,23.445
16,16,,22.998,160,148.22999572753906,JNJ,2020-10-06,2023-01-20,3.2972,23.22
17,17,12.99,22.662,160,146.25999450683594,JNJ,2020-10-07,2023-01-20,3.2972,23.502
18,18,12.9,22.615,160,147.8800048828125,JNJ,2020-10-08,2023-01-20,3.2972,23.093
19,19,,22.492,160,148.88999938964844,JNJ,2020-10-09,2023-01-20,3.2972,22.572
20,20,14.1,22.129,160,151.83999633789062,JNJ,2020-10-12,2023-01-20,3.2972,22.325
21,21,12.75,22.262,160,151.83999633789062,JNJ,2020-10-13,2023-01-20,3.2972,21.992
22,22,12.1,21.658,160,148.36000061035156,JNJ,2020-10-14,2023-01-20,3.2972,21.897
23,23,12.1,21.648,160,148.10000610351562,JNJ,2020-10-15,2023-01-20,3.2972,21.522
24,24,12.2,21.615,160,147.19000244140625,JNJ,2020-10-16,2023-01-20,3.2972,22.458
25,25,11.23,21.657,160,144.32000732421875,JNJ,2020-10-19,2023-01-20,3.2972,21.458
26,26,,21.629,160,144.32000732421875,JNJ,2020-10-20,2023-01-20,3.2972,21.712
27,27,,21.682,160,144.5500030517578,JNJ,2020-10-21,2023-01-20,3.2972,21.761
28,28,,21.74,160,143.92999267578125,JNJ,2020-10-22,2023-01-20,3.2972,21.777
29,29,,21.915,160,145.0800018310547,JNJ,2020-10-23,2023-01-20,3.2972,22.247
30,30,10.42,22.42,160,143.97000122070312,JNJ,2020-10-26,2023-01-20,3.2972,21.282
31,31,10.3,21.966,160,143.14999389648438,JNJ,2020-10-27,2023-01-20,3.2972,21.571
32,32,8.87,22.729,160,138.36000061035156,JNJ,2020-10-28,2023-01-20,3.2972,21.845
33,33,8.6,22.189,160,137.19000244140625,JNJ,2020-10-29,2023-01-20,3.2972,22.448
34,34,,22.719,160,137.11000061035156,JNJ,2020-10-30,2023-01-20,3.2972,22.76
35,35,,22.107,160,138.69000244140625,JNJ,2020-11-02,2023-01-20,3.2972,21.809
36,36,,21.921,160,138.5,JNJ,2020-11-03,2023-01-20,3.2972,22.275
37,37,9.32,21.661,160,139.39999389648438,JNJ,2020-11-04,2023-01-20,3.2972,21.767
38,38,,21.955,160,139.75999450683594,JNJ,2020-11-05,2023-01-20,3.2972,21.789
39,39,,21.252,160,142.25,JNJ,2020-11-06,2023-01-20,3.2972,21.951
40,40,,21.214,160,146.0800018310547,JNJ,2020-11-09,2023-01-20,3.2972,21.858
41,41,,22.048,160,148.27999877929688,JNJ,2020-11-10,2023-01-20,3.2972,21.031
42,42,11.53,21.074,160,147.8000030517578,JNJ,2020-11-11,2023-01-20,3.2972,21.137
43,43,,21.256,160,148.3000030517578,JNJ,2020-11-12,2023-01-20,3.2972,20.299
44,44,,20.919,160,149.89999389648438,JNJ,2020-11-13,2023-01-20,3.2972,21.286
45,45,,21.184,160,150.85000610351562,JNJ,2020-11-16,2023-01-20,3.2972,21.51
46,46,13.0,21.035,160,149.35000610351562,JNJ,2020-11-17,2023-01-20,3.2972,21.041
47,47,10.4,21.003,160,147.3699951171875,JNJ,2020-11-18,2023-01-20,3.2972,21.631
48,48,,21.155,160,147.13999938964844,JNJ,2020-11-19,2023-01-20,3.2972,20.742
49,49,10.8,21.097,160,146.36000061035156,JNJ,2020-11-20,2023-01-20,3.2972,20.823
50,50,,21.261,160,143.8699951171875,JNJ,2020-11-23,2023-01-20,3.2972,20.978
51,51,10.15,21.105,160,,JNJ,2020-11-24,2023-01-20,3.2972,20.841
52,52,,20.908,160,143.67999267578125,JNJ,2020-11-25,2023-01-20,3.2972,20.621
53,53,,21.54,160,144.0,JNJ,2020-11-27,2023-01-20,3.2972,21.003
54,54,,20.837,160,144.67999267578125,JNJ,2020-11-30,2023-01-20,3.2972,20.882
55,55,11.9,20.523,160,147.4499969482422,JNJ,2020-12-01,2023-01-20,3.2972,21.155
56,56,11.9,21.095,160,148.13999938964844,JNJ,2020-12-02,2023-01-20,3.2972,21.503
57,57,12.25,21.035,160,149.0,JNJ,2020-12-03,2023-01-20,3.2972,21.664
58,58,12.62,21.309,160,150.27000427246094,JNJ,2020-12-04,2023-01-20,3.2972,21.343
59,59,12.3,21.319,160,148.97000122070312,JNJ,2020-12-07,2023-01-20,3.2972,20.981
60,60,13.47,21.813,160,151.5500030517578,JNJ,2020-12-08,2023-01-20,3.2972,22.186
61,61,13.25,22.217,160,153.10000610351562,JNJ,2020-12-09,2023-01-20,3.2972,21.948
62,62,14.0,21.785,160,152.25,JNJ,2020-12-10,2023-01-20,3.2972,21.927
63,63,14.95,22.044,160,152.9499969482422,JNJ,2020-12-11,2023-01-20,3.2972,21.365
64,64,,22.006,160,149.07000732421875,JNJ,2020-12-14,2023-01-20,3.2972,22.044
65,65,13.45,21.877,160,150.57000732421875,JNJ,2020-12-15,2023-01-20,3.2972,22.489
66,66,12.8,21.279,160,149.6699981689453,JNJ,2020-12-16,2023-01-20,3.2972,22.097
67,67,14.2,21.928,160,153.6199951171875,JNJ,2020-12-17,2023-01-20,3.2972,21.27
68,68,,21.632,160,154.50999450683594,JNJ,2020-12-18,2023-01-20,3.2972,20.462
69,69,,22.381,160,153.02000427246094,JNJ,2020-12-21,2023-01-20,3.2972,22.128
70,70,14.2,22.194,160,152.72000122070312,JNJ,2020-12-22,2023-01-20,3.2972,21.297
71,71,,22.075,160,151.94000244140625,JNJ,2020-12-23,2023-01-20,3.2972,21.362
72,72,,22.918,160,152.47000122070312,JNJ,2020-12-24,2023-01-20,3.2972,22.185
73,73,14.15,21.908,160,153.19000244140625,JNJ,2020-12-28,2023-01-20,3.2972,22.743
74,74,14.85,21.226,160,154.13999938964844,JNJ,2020-12-29,2023-01-20,3.2972,22.389
75,75,15.6,22.43,160,156.0500030517578,JNJ,2020-12-30,2023-01-20,3.2972,22.334
76,76,15.55,22.109,160,157.3800048828125,JNJ,2020-12-31,2023-01-20,3.2972,22.258
77,77,16.75,22.133,160,156.5,JNJ,2021-01-04,2023-01-20,3.2972,22.425
78,78,17.05,22.185,160,158.33999633789062,JNJ,2021-01-05,2023-01-20,3.2972,22.229
