,mu,sigma,nu
0,0.8359825495361549,0.33589170857200873,0.00274647895224156
1,0.5532952778729978,0.32504159316635345,0.002985117598133454
2,0.5121175537181721,0.36706862499692505,0.0028444201709693054
3,0.34471301620662576,0.37037774020081415,0.0030446758250796163
4,0.3872461889699917,0.3409462017421903,0.0026311312920986327
5,0.8257507944059161,0.3432956123896191,0.0026834682583775707
6,0.9981107536306553,0.3508447797648132,0.003568020963051415
7,0.5619418736068662,0.35062593460038277,0.0028933409867991844
8,0.5295832157166002,0.33806246544590207,0.003221305952217703
9,0.9999937592866769,0.38081565940429885,0.003003884042238446
10,0.239936718603204,0.36238253081283306,0.0024877775486785558
11,0.5704227896677749,0.3505512002258542,0.0037064948742734447
12,0.7289135328515458,0.30228024449915925,0.0025432423723222354
13,0.7964447959355745,0.36048417270189625,0.00308869482639116
14,0.5666482199316627,0.36380035039180125,0.003179476071383512
15,0.9319170226496567,0.3504774855704932,0.0033573585454032637
16,0.8883178814673749,0.36715666585085477,0.003897682474567241
17,0.6912925016445578,0.3500019684583087,0.0025874013961556335
18,0.7447419504888594,0.33882923925330527,0.0035343040104251116
19,0.8818638967156313,0.3491453604197997,0.002779285143097044
20,0.6399098098988152,0.35993011990318197,0.0030654218329290717
21,0.5280180986323882,0.36925548691350907,0.0027235249666156683
22,0.6206144291667296,0.3492511580351031,0.0026581813798594134
23,0.5325877448790346,0.32130482943533917,0.003345461353083423
24,0.9382968422502753,0.36822809124162037,0.003323176081411926
25,0.3639899247814685,0.32273995683285533,0.0028571269455649442
26,0.5512270179593668,0.3427342741794788,0.0026278521461701853
27,0.9999933150244688,0.3399742472677002,0.0033483760689529112
28,0.786646415322086,0.3488453899129841,0.0026106625201098256
29,0.793606334270141,0.3525275270720146,0.002992499482091038
30,0.5296508453951135,0.33826285583985655,0.0033324085895784254
31,0.8833821461256925,0.35346558369528114,0.00287568473844563
32,0.9318659849641118,0.3503331804430229,0.0033146375756745784
33,0.31797499290897274,0.3304030527858945,0.002725562269088339
34,0.9999949910521547,0.3325652692370345,0.002907478785916474
35,0.5313799467255981,0.3500340438575735,0.0033910747992758022
36,0.6670056810601653,0.33131416548111825,0.0026928317260109494
37,0.8784938225170346,0.34482684623859805,0.0037891219008107982
38,0.9476143212076297,0.337420641431669,0.003553014785874976
39,0.7811957283142678,0.3153686627651063,0.003061637114566905
40,0.5333588576306227,0.32369254714387174,0.0030151773199274565
41,0.5045442463576374,0.3413994054231233,0.0026891643672144485
42,0.5590786275181021,0.3423680865973638,0.003096102137651972
43,0.48794075037836365,0.3088157226685062,0.0022673514527177144
44,0.5275960927012302,0.3219697327168087,0.0024875426489574556
45,0.6856104305149441,0.3333773882583556,0.0029683127125562864
46,0.9999935998610323,0.3651514718496513,0.003584565083712291
47,0.8315252382005217,0.35971584862525907,0.003549868203109553
48,0.3731210445975121,0.3244131438293577,0.0028191755955625235
49,0.5532060268817487,0.34395517579768137,0.0033424607997679222
50,0.3824901841506981,0.3456629155422773,0.002642847852532495
51,0.7767767069014957,0.3192789415918572,0.0031961707069271335
52,0.6331501653776636,0.3470761099698002,0.003179906494542675
53,0.29168343706463284,0.34744258128134536,0.0027170018767762273
54,0.6538441175414133,0.36054152731769773,0.002811844296589826
55,0.3339040093659128,0.37552442595002766,0.002861427877401005
56,0.8228494900918729,0.3237237662214746,0.002595423365986329
57,0.5624034381858765,0.326886174249834,0.0030440877077929263
58,0.637816839928322,0.36026696661868596,0.003090828656599049
59,0.8248710768540699,0.34072196097591273,0.0030968352235079075
60,0.5042353730615087,0.34492357282244007,0.003629358788525496
61,0.714863614871499,0.33794231454718593,0.003191962305899484
62,0.3848322891689043,0.3347741044918382,0.0031829427882273985
63,0.6545468132679039,0.33208699629531635,0.002379067406648912
64,0.4558331857384767,0.3337652410316988,0.0022502883870323394
65,0.9233670175145072,0.3251778432029898,0.0027742598459815893
