,Unnamed: 0,call,put,strike,Share,symbol,trade_date,ex_date,libor_rate,volatility,t,new_libor,d,new_d,vg_im_sigma,vg_im_nu,vg_im_call,vg_im_call_1,vg_im_sigma_1,vg_im_nu_1
439,440,19.8,23.2,160,173.710006713867,JNJ,2022-06-10,2023-01-20,0.025953,23.087,0.888888888888889,0.0495506555555556,24.004267590076637,0.12943564864734203,0.05502527211369046,0.0005618084440705847,19.8000000000081,19.7999999999949,0.05418541280920372,0.0005593228509011592
8770,8771,23.769,23.594,160,173.710006713867,JNJ,2022-06-10,2022-11-18,0.023001,18.49,0.638888888888889,0.0463249555555556,18.20105664484072,0.09964477227502566,0.05502527211369046,0.0005618084440705847,23.7689999999965,23.7689999999983,0.05418541280920372,0.0005593228509011592
440,441,18.7,23.897,160,170.809997558594,JNJ,2022-06-13,2023-01-20,0.023001,23.419,0.876984126984127,0.0493970507936508,22.790278166031754,0.12524378568204958,0.20539198969113664,0.001164852607448374,21.7262965235593,21.7279138548855,0.20717860065929597,0.0011698188022993832
8771,8772,24.008,24.063,160,170.809997558594,JNJ,2022-06-13,2022-11-18,0.023001,17.55,0.626984126984127,0.0461713507936508,15.430390285544888,0.08648643368049488,0.20539198969113664,0.001164852607448374,20.363106174278,20.3697329229117,0.20717860065929597,0.0011698188022993832
441,442,16.68,23.766,160,170.809997558594,JNJ,2022-06-14,2023-01-20,0.023001,23.655,0.873015873015873,0.0493458492063492,24.64239142215223,0.13476500178384923,0.18408877293825213,0.0011264420469186704,20.6238367591868,20.6227723967377,0.18600196559937468,0.0011331425312070661
8772,8773,24.328,24.106,160,170.809997558594,JNJ,2022-06-14,2022-11-18,0.023001,15.55,0.623015873015873,0.0461201492063492,15.119949744141508,0.08481816200977942,0.18408877293825213,0.0011264420469186704,19.4544812937143,19.4642424651098,0.18600196559937468,0.0011331425312070661
444,445,17.05,22.489,160,170.080001831055,JNJ,2022-06-17,2023-01-20,0.023001,22.35,0.861111111111111,0.0491922444444444,22.1550560997365,0.12244995792924586,0.18850388344974064,0.0011261398050506917,20.1909788871687,20.1960190878464,0.1903790506138475,0.0011313713677412699
8775,8776,22.73,23.122,160,170.080001831055,JNJ,2022-06-17,2022-11-18,0.023001,15.8,0.611111111111111,0.0459665444444444,14.903968521275743,0.0840002492206375,0.18850388344974064,0.0011261398050506917,18.8961406471675,18.9045402377067,0.1903790506138475,0.0011313713677412699
445,446,18.53,22.531,160,173.009994506836,JNJ,2022-06-21,2023-01-20,0.023001,22.537,0.845238095238095,0.0489874380952381,23.500679061498772,0.12736738370316908,0.1523825242732663,0.0010124325791300124,20.5822372667872,20.6464376651314,0.15699129695388608,0.0010209106771805383
8776,8777,23.33,23.053,160,173.009994506836,JNJ,2022-06-21,2022-11-18,0.023001,18.4,0.595238095238095,0.0457617380952381,17.03243296205227,0.09389798515516133,0.1523825242732663,0.0010124325791300124,20.1509561922982,20.1696448880193,0.15699129695388608,0.0010209106771805383
