"","call","put","strike","Share","symbol","trade_date","ex_date","libor_rate","volatility","t","new_libor"
"1",12.05,21.23,160,148.350006103516,"JNJ",2020-09-14,2023-01-20,0.032972,21.28,3.4047619047619,0.0437738095238095
"2",12.7,21.421,160,148.350006103516,"JNJ",2020-09-15,2023-01-20,0.032972,21.389,3.40079365079365,0.0437806349206349
"3",12.55,21.06,160,148.889999389648,"JNJ",2020-09-16,2023-01-20,0.032972,21.214,3.3968253968254,0.0437874603174603
"4",11.34,20.973,160,148.399993896484,"JNJ",2020-09-17,2023-01-20,0.032972,20.254,3.39285714285714,0.0437942857142857
"5",NA,20.675,160,147.169998168945,"JNJ",2020-09-18,2023-01-20,0.032972,20.206,3.38888888888889,0.0438011111111111
"6",10.9,21.156,160,145.100006103516,"JNJ",2020-09-21,2023-01-20,0.032972,20.645,3.37698412698413,0.0438215873015873
"7",NA,21.09,160,145.100006103516,"JNJ",2020-09-22,2023-01-20,0.032972,21.564,3.37301587301587,0.0438284126984127
"8",NA,21.68,160,144.210006713867,"JNJ",2020-09-23,2023-01-20,0.032972,21.023,3.36904761904762,0.0438352380952381
"9",11.75,22.198,160,144.440002441406,"JNJ",2020-09-24,2023-01-20,0.032972,21.315,3.36507936507937,0.0438420634920635
"10",12.25,22.608,160,144.669998168945,"JNJ",2020-09-25,2023-01-20,0.032972,21.706,3.36111111111111,0.0438488888888889
"11",13.05,22.365,160,147.110000610352,"JNJ",2020-09-28,2023-01-20,0.032972,22.053,3.34920634920635,0.0438693650793651
"12",13.45,22.943,160,147.110000610352,"JNJ",2020-09-29,2023-01-20,0.032972,22.774,3.3452380952381,0.0438761904761905
"13",12.55,22.321,160,147.059997558594,"JNJ",2020-09-30,2023-01-20,0.032972,21.773,3.34126984126984,0.0438830158730159
"14",NA,22.644,160,148.880004882812,"JNJ",2020-10-01,2023-01-20,0.032972,21.802,3.33730158730159,0.0438898412698413
"15",12.8,22.25,160,147.320007324219,"JNJ",2020-10-02,2023-01-20,0.032972,23.217,3.33333333333333,0.0438966666666667
"16",NA,22.721,160,148.229995727539,"JNJ",2020-10-05,2023-01-20,0.032972,23.445,3.32142857142857,0.0439171428571429
"17",NA,22.998,160,148.229995727539,"JNJ",2020-10-06,2023-01-20,0.032972,23.22,3.31746031746032,0.0439239682539683
"18",12.99,22.662,160,146.259994506836,"JNJ",2020-10-07,2023-01-20,0.032972,23.502,3.31349206349206,0.0439307936507937
"19",12.9,22.615,160,147.880004882812,"JNJ",2020-10-08,2023-01-20,0.032972,23.093,3.30952380952381,0.0439376190476191
"20",NA,22.492,160,148.889999389648,"JNJ",2020-10-09,2023-01-20,0.032972,22.572,3.30555555555556,0.0439444444444444
"21",14.1,22.129,160,151.839996337891,"JNJ",2020-10-12,2023-01-20,0.032972,22.325,3.29365079365079,0.0439649206349206
"22",12.75,22.262,160,151.839996337891,"JNJ",2020-10-13,2023-01-20,0.032972,21.992,3.28968253968254,0.043971746031746
"23",12.1,21.658,160,148.360000610352,"JNJ",2020-10-14,2023-01-20,0.032972,21.897,3.28571428571429,0.0439785714285714
"24",12.1,21.648,160,148.100006103516,"JNJ",2020-10-15,2023-01-20,0.032972,21.522,3.28174603174603,0.0439853968253968
"25",12.2,21.615,160,147.190002441406,"JNJ",2020-10-16,2023-01-20,0.032972,22.458,3.27777777777778,0.0439922222222222
"26",11.23,21.657,160,144.320007324219,"JNJ",2020-10-19,2023-01-20,0.032972,21.458,3.26587301587302,0.0440126984126984
"27",NA,21.629,160,144.320007324219,"JNJ",2020-10-20,2023-01-20,0.032972,21.712,3.26190476190476,0.0440195238095238
"28",NA,21.682,160,144.550003051758,"JNJ",2020-10-21,2023-01-20,0.032972,21.761,3.25793650793651,0.0440263492063492
"29",NA,21.74,160,143.929992675781,"JNJ",2020-10-22,2023-01-20,0.032972,21.777,3.25396825396825,0.0440331746031746
"30",NA,21.915,160,145.080001831055,"JNJ",2020-10-23,2023-01-20,0.032972,22.247,3.25,0.04404
"31",10.42,22.42,160,143.970001220703,"JNJ",2020-10-26,2023-01-20,0.032972,21.282,3.23809523809524,0.0440604761904762
"32",10.3,21.966,160,143.149993896484,"JNJ",2020-10-27,2023-01-20,0.032972,21.571,3.23412698412698,0.0440673015873016
"33",8.87,22.729,160,138.360000610352,"JNJ",2020-10-28,2023-01-20,0.032972,21.845,3.23015873015873,0.044074126984127
"34",8.6,22.189,160,137.190002441406,"JNJ",2020-10-29,2023-01-20,0.032972,22.448,3.22619047619048,0.0440809523809524
"35",NA,22.719,160,137.110000610352,"JNJ",2020-10-30,2023-01-20,0.032972,22.76,3.22222222222222,0.0440877777777778
"36",NA,22.107,160,138.690002441406,"JNJ",2020-11-02,2023-01-20,0.032972,21.809,3.21031746031746,0.044108253968254
"37",NA,21.921,160,138.5,"JNJ",2020-11-03,2023-01-20,0.032972,22.275,3.20634920634921,0.0441150793650794
"38",9.32,21.661,160,139.399993896484,"JNJ",2020-11-04,2023-01-20,0.032972,21.767,3.20238095238095,0.0441219047619048
"39",NA,21.955,160,139.759994506836,"JNJ",2020-11-05,2023-01-20,0.032972,21.789,3.1984126984127,0.0441287301587302
"40",NA,21.252,160,142.25,"JNJ",2020-11-06,2023-01-20,0.032972,21.951,3.19444444444444,0.0441355555555556
"41",NA,21.214,160,146.080001831055,"JNJ",2020-11-09,2023-01-20,0.032972,21.858,3.18253968253968,0.0441560317460317
"42",NA,22.048,160,148.279998779297,"JNJ",2020-11-10,2023-01-20,0.032972,21.031,3.17857142857143,0.0441628571428571
