,call,put,strike,Share,symbol,trade_date,ex_date,libor_rate,Implied Volatility,t,new_libor,d,vg_im_sigma,vg_im_nu,vg_im_call
0,40.2,6.0,140.0,172.0,AAPL,06/01/2022,18/11/2022,0.030871,32.417,1.253968254,0.049827652,6.27984250180242,0.351476164479616,0.00140723063229,38.8433651023461
1,40.71,7.9,140.0,172.0,AAPL,06/01/2022,20/01/2023,0.032963,31.921,1.503968254,0.048689077,9.0754005341918,0.351476164479616,0.00140723063229,38.6935057633153
2,39.5,6.7,140.0,172.1699982,AAPL,07/01/2022,18/11/2022,0.030871,32.703,1.25,0.049845725,7.826804569170378,0.3574997419890421,0.001401306602845,37.9522132723147
3,41.5,8.0,140.0,172.1699982,AAPL,07/01/2022,20/01/2023,0.032963,32.646,1.5,0.04870715,8.53378475789546,0.3574997419890421,0.001401306602845,39.5588125924037
4,36.5,7.2,140.0,172.1900024,AAPL,10/01/2022,18/11/2022,0.030871,32.677,1.238095238,0.049899943,11.277562728306066,0.3491308260699035,0.0013437374762433,35.3171364745472
5,39.91,8.22,140.0,172.1900024,AAPL,10/01/2022,20/01/2023,0.032963,32.087,1.488095238,0.048761368,10.298813236869307,0.3491308260699035,0.0013437374762433,38.11596709955
6,41.29,6.0,140.0,175.0800018,AAPL,11/01/2022,18/11/2022,0.030871,32.052,1.234126984,0.049918015,8.154434144890757,0.3557309440792774,0.0014358387744349,39.6303197996394
7,42.33,7.05,140.0,175.0800018,AAPL,11/01/2022,20/01/2023,0.032963,31.426,1.484126984,0.04877944,9.577109369134917,0.3557309440792774,0.0014358387744349,39.8315311867893
8,42.15,5.8,140.0,175.5299988,AAPL,12/01/2022,18/11/2022,0.030871,32.034,1.23015873,0.049936088,7.521280375582847,0.3586300429607185,0.0014252862631041,40.3713180800112
9,42.95,6.95,140.0,175.5299988,AAPL,12/01/2022,20/01/2023,0.032963,31.622,1.48015873,0.048797513,9.285380995661969,0.3586300429607185,0.0014252862631041,40.3951105164894
10,40.0,6.5,140.0,172.1900024,AAPL,13/01/2022,18/11/2022,0.030871,32.588,1.226190476,0.049954161,7.008110246755706,0.3512211451850381,0.0014846457175684,38.8051303969286
11,40.71,7.4,140.0,172.1900024,AAPL,13/01/2022,20/01/2023,0.032963,32.091,1.476190476,0.048815586,8.613636912745534,0.3512211451850381,0.0014846457175684,38.9121041396272
12,37.5,7.0,140.0,169.8000031,AAPL,18/01/2022,18/11/2022,0.029439,33.291,1.206349206,0.050044524,7.501897217291173,0.3543635990074294,0.0013649854703493,36.4120368915646
13,39.35,8.5,140.0,169.8000031,AAPL,18/01/2022,20/01/2023,0.032963,33.56,1.456349206,0.048905949,8.574563827614554,0.3543635990074294,0.0013649854703493,38.1874562302152
14,31.85,10.85,140.0,161.6199951,AAPL,24/01/2022,18/11/2022,0.029439,35.069,1.182539683,0.05015296,8.681672918239457,0.3494658985539289,0.0017345843278919,31.9130509079725
15,33.4,11.2,140.0,161.6199951,AAPL,24/01/2022,20/01/2023,0.031609,34.613,1.432539683,0.049014385,8.91292907805311,0.3494658985539289,0.0017345843278919,33.206927885876
16,30.55,11.3,140.0,159.7799988,AAPL,25/01/2022,18/11/2022,0.029439,35.32,1.178571429,0.050171032,8.568226384475025,0.3595706499234304,0.0015307403295637,30.2142206544269
17,33.67,11.76,140.0,159.7799988,AAPL,25/01/2022,20/01/2023,0.031609,34.67,1.428571429,0.049032457,7.340916416835341,0.3595706499234304,0.0015307403295637,32.9028150314066
18,32.0,9.45,140.0,159.6900024,AAPL,26/01/2022,18/11/2022,0.029439,35.576,1.174603175,0.050189105,5.154756807328283,0.3460478798109405,0.0015161854297219,32.500176588248
