0,call,put,strike,Share,symbol,trade date,exercise date,LIBOR Rate
68,3.04,0.4,14,16.84,KMI,2022-09-28,2023-01-20,4.217
69,1.57,1,16,16.84,KMI,2022-09-28,2023-01-20,4.217
70,1.1,1.27,17,16.84,KMI,2022-09-28,2023-01-20,4.217
83,4.65,0.05,3,7.6,LUMN,2022-09-27,2023-01-20,4.217
85,0.39,1.62,9,7.82,LUMN,2022-09-28,2023-01-20,4.217
86,0.19,2.54,10,7.82,LUMN,2022-09-28,2023-01-20,4.217
87,0.12,3.4,11,7.82,LUMN,2022-09-28,2023-01-20,4.217
88,0.04,7.3,15,7.82,LUMN,2022-09-28,2023-01-20,4.217
84,0.56,1.2,8,7.82,LUMN,2022-09-29,2023-01-20,4.217
77,13.9,0.28,27.5,41.68,MO,2022-09-23,2023-01-20,4.217
76,20.94,0.12,20,40.790001,MO,2022-09-27,2023-01-20,4.217
78,3.37,2.18,40,41.41,MO,2022-09-28,2023-01-20,4.217
79,2.05,3.55,42.5,41.41,MO,2022-09-28,2023-01-20,4.217
80,0.51,7.3,47.5,41.41,MO,2022-09-28,2023-01-20,4.217
81,134,0.5,110,247.800003,PXD,2022-09-01,2023-01-20,4.217
82,25.17,17.04,200,215.139999,PXD,2022-09-28,2023-01-20,4.217
75,0.13,11.3,35,18.232628,T,2022-04-08,2023-01-20,4.217
71,4.8,0.14,11,15.83,T,2022-09-28,2023-01-20,4.217
72,3,0.31,13,15.83,T,2022-09-28,2023-01-20,4.217
73,1.2,0.9,15,15.505,T,2022-09-29,2023-01-20,4.217
74,0.7,1.39,16,15.505,T,2022-09-29,2023-01-20,4.217
67,0.01,48.57,90,41.75,VZ,2022-09-13,2023-01-20,4.217
56,14.65,0.2,25,38.889999,VZ,2022-09-27,2023-01-20,4.217
58,1.27,3.7,41,39.389999,VZ,2022-09-28,2023-01-20,4.217
59,0.69,4.99,43,39.389999,VZ,2022-09-28,2023-01-20,4.217
60,0.5,5.75,44,39.389999,VZ,2022-09-28,2023-01-20,4.217
61,0.28,7.75,46,39.389999,VZ,2022-09-28,2023-01-20,4.217
63,0.14,10.41,49,39.389999,VZ,2022-09-28,2023-01-20,4.217
64,0.11,11.42,50,39.389999,VZ,2022-09-28,2023-01-20,4.217
65,0.08,13.9,52.5,39.389999,VZ,2022-09-28,2023-01-20,4.217
66,0.07,16.77,55,39.389999,VZ,2022-09-28,2023-01-20,4.217
57,4.85,1.2,35,38.794998,VZ,2022-09-29,2023-01-20,4.217
62,0.14,10,48,38.794998,VZ,2022-09-29,2023-01-20,4.217
54,1.67,1.12,16,16.84,KMI,2022-09-28,2023-03-17,4.649
55,1.19,1.83,17,16.84,KMI,2022-09-28,2023-03-17,4.649
44,0.92,1.2,8,7.82,LUMN,2022-09-28,2023-03-17,4.649
45,0.32,2.52,10,7.82,LUMN,2022-09-28,2023-03-17,4.649
50,0.15,13.59,55,41.68,MO,2022-09-23,2023-03-17,4.649
46,3.95,2.72,40,41.41,MO,2022-09-28,2023-03-17,4.649
47,2.55,4.15,42.5,41.41,MO,2022-09-28,2023-03-17,4.649
48,1.53,5.46,45,41.41,MO,2022-09-28,2023-03-17,4.649
49,0.92,7.75,47.5,41.41,MO,2022-09-28,2023-03-17,4.649
52,0.64,2,17,15.83,T,2022-09-28,2023-03-17,4.649
51,1.49,1.1,15,15.505,T,2022-09-29,2023-03-17,4.649
53,0.3,3,18,15.505,T,2022-09-29,2023-03-17,4.649
31,4.2,0.63,13,16.84,KMI,2022-09-28,2023-06-16,5.125
32,1.55,2.1,17,16.84,KMI,2022-09-28,2023-06-16,5.125
41,1.08,1.37,8,7.82,LUMN,2022-09-28,2023-06-16,5.125
42,0.77,1.97,9,7.82,LUMN,2022-09-28,2023-06-16,5.125
43,0.32,3.53,11,7.82,LUMN,2022-09-28,2023-06-16,5.125
38,25.3,35.9,210,208.990005,PXD,2022-09-23,2023-06-16,5.125
39,11.4,62.1,250,208.990005,PXD,2022-09-23,2023-06-16,5.125
40,4.56,102.5,300,208.990005,PXD,2022-09-23,2023-06-16,5.125
33,3.14,0.6,13,15.83,T,2022-09-28,2023-06-16,5.125
34,0.84,2.3,17,15.83,T,2022-09-28,2023-06-16,5.125
35,0.56,3,18,15.83,T,2022-09-28,2023-06-16,5.125
36,0.35,3.85,19,15.83,T,2022-09-28,2023-06-16,5.125
37,0.06,9.42,25,15.83,T,2022-09-28,2023-06-16,5.125
